block_time,from,to,total_eth
2022-04-27T01:40:41+00:00,\xa0e1c89ef1a489c9c7de96311ed5ce5d32c20e4b,\x5967524ce3bc2bc422e584e33bd50921a22e3c0a,4512.3
2022-03-31T11:04:01+00:00,\xe6ec0de23b6db6604113cb79db609d5da461c961,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-31T09:43:31+00:00,\xcaebe9580f6a11f164231e6a3c21fd9f7725676c,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-31T10:34:37+00:00,\xd12fbbc8f17d2d461ba8d471a0d4c4d8fffb7922,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0006
2022-04-03T09:47:34+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-23T11:25:58+00:00,\x3cffd56b47b7b41c56258d9c7731abadc360e073,\x28f080edf51145c3f511415b8c2afaebb605a70b,3142.48
2022-03-29T19:19:29+00:00,\x5a5444f6b5d511f61ff7c3152054d4030f3891ca,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0006
2022-04-27T11:05:32+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\xf7b31119c2682c88d88d455dbb9d5932c65cf1be,25127.5192
2022-03-31T17:28:58+00:00,\xc9b1af85e32f378121e8cbd2c6511c291cbc4462,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-29T05:55:33+00:00,\xe00a220100f1efc8284fb41d7639411b47020c55,\xf7b31119c2682c88d88d455dbb9d5932c65cf1be,0.000123456
2022-04-15T08:14:05+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\xbc5639887283eaf1b8e966e0b2fa6998d2ec6404,2915.24
2022-03-31T09:14:25+00:00,\xb50933b916ff5321aa40d79ef741d399b6d257dc,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-07
2022-04-14T05:32:11+00:00,\x5a1a006a7a345dfa518c6c185cf5cbf3b5c05160,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001
2022-04-12T12:02:43+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:14:58+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-03T09:54:30+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-14T02:24:21+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\x1bf53ce80ff2ed5711b8a2db8f7ea5b38da118d6,3302.6
2022-03-31T10:10:31+00:00,\xa9b769112aa35291121f3fdcede4b5e25f8ad978,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-29T17:52:53+00:00,\x6bbeb2dcb98696f22041bf54915030b461d8b423,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0052069
2022-09-27T15:28:11+00:00,\x63757fe32201b37d005b97812593fc6d228a5ed0,\x53b6936513e738f44fb50d2b9476730c0ab3bfc1,7.777e-07
2022-04-12T12:03:05+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-28T02:33:07+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\xdb3a63562bb7afd44e6b6be8c8269f807c39f5fa,500.0
2022-04-20T09:30:32+00:00,\xd5e3b827ecce4f357beb6a13f5bc5a8fb96df591,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0002
2022-05-16T07:23:26+00:00,\x3e37627deaa754090fbfbb8bd226c1ce66d255e9,\xa3d34ba0400a3952a6c81c4629c3971f1537ae6f,3003.3
2022-04-09T12:50:18+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:58:58+00:00,\x5a5444f6b5d511f61ff7c3152054d4030f3891ca,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-04-19T07:15:35+00:00,\xdd28fd615c9cdb516c73a0110de2bc28f1f83cb7,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1.1e-05
2022-03-29T16:44:01+00:00,\x1021f3e9f52a09d509225ebfe467eac14dfbeb79,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-23T13:58:58+00:00,\x665660f65e94454a64b96693a67a41d440155617,\x098b716b8aaf21512996dc57eb0615e2383e2f96,300.0
2022-04-14T04:41:59+00:00,\x568f8aa2dcd5a2e989411d163c4ba577e951fb97,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T17:06:50+00:00,\x5a5444f6b5d511f61ff7c3152054d4030f3891ca,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-05-11T04:22:31+00:00,\xf7b31119c2682c88d88d455dbb9d5932c65cf1be,\x979443bebd684daee44ea7a6d599bd6ed4cafd55,3003.3
2022-04-19T08:29:32+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:56:22+00:00,\xc2da66c2d669d981455eec43357ae5cd3d388a01,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0052
2022-04-05T13:22:23+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
